offset,parity_even_mean,parity_odd_mean,n_edges_mean,density_mean,components_mean,degree_mean_mean,degree_sd_mean,strength_mean_mean,strength_sd_mean,edge_weight_min_mean,edge_weight_max_mean,edge_weight_mean_mean,edge_weight_cv_mean,global_clustering_mean,A_assort_unweighted_mean,V_assort_unweighted_mean,A_assort_weighted_mean,V_assort_weighted_mean,mean_abs_dA_mean,mean_abs_dV_mean,weighted_abs_dA_mean,weighted_abs_dV_mean,M_DY_minus_D_rA_mean,M_DY_minus_D_rV_mean
10,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.002151845079949167,0.003612899471053334,0.0021168322175458333,0.0036670119142433334,0.22193652804141664,0.18747604331158332,0.22194063623183333,0.187472840083,-0.02644715833333335,-0.012396391666666675
11,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.005603683420334251,0.0025787847218483335,0.005568396427927416,0.002617500031710833,0.2218685655835,0.18754493427716667,0.22187410158458332,0.18754232808866667,-0.05478870833333333,-0.039862724999999995
12,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.00012767839719999996,-0.008313492035029001,0.00010718793267891688,-0.008397656642237,0.22149341055783334,0.18861837142649998,0.22149394936433334,0.18862706949633334,-0.02624950000000001,-0.013461716666666663
13,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.002762690349165833,-0.0015332896414891664,0.002791104714509,-0.0014580713857999996,0.22148231643616667,0.18809021062875,0.2214782911320833,0.18808206643866665,-0.05733066666666667,-0.040300508333333325
14,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,-0.0002564917944674998,0.004300293036754167,-0.0002525459713875,0.004249638402211667,0.22139908685791665,0.18736387166541668,0.22139526602716667,0.18737021796583334,-0.02011443333333335,-0.011884058333333324
15,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.007214805787875666,0.009793878545847666,0.007203168881929325,0.009805312692699417,0.22116097565649998,0.18668101497283332,0.22116169922291665,0.18667858323458333,-0.05192487500000001,-0.033808424999999996
16,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.014000450125312501,0.0047216817426965,0.013955195722771667,0.004658507561218083,0.22009415144166666,0.18756007888633333,0.22009974722558334,0.1875656263801667,-0.060213741666666674,-0.03945244999999999
17,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,-0.0012759209702116667,-0.0017980684811423335,-0.0012901724810575,-0.0018211163111968333,0.22192428414983334,0.18836879593258335,0.22192631971508334,0.18837207179225002,-0.05868328333333333,-0.040232083333333335
18,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,-0.0016077578868474998,-0.0036881521428075,-0.0016335213085558334,-0.00369048818251,0.2214679394524167,0.18815665630800002,0.22146853239166667,0.18815455079091667,-0.0647412,-0.04071509166666667
19,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.003456855373501833,-0.005518588158942499,0.0034963546347651663,-0.005491805315955,0.22112220950508332,0.18845138965358332,0.22111625007066668,0.18845006842416667,-0.023368675000000005,-0.01254296666666667
20,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,-0.002187407335020775,0.0017687756594825,-0.00219062406889975,0.0017063249950383334,0.22200383981308333,0.1879121320713333,0.22200353767441663,0.187923120609,-0.023660708333333325,-0.013581041666666661
21,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,-0.007783557898803334,0.004382807949235833,-0.007794217892569084,0.0042947137542525,0.22276333616108335,0.187736520142,0.22276411754266667,0.18774573105208334,-0.021856133333333343,-0.016036216666666662
22,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.0016539439964833329,4.7901734398333116e-05,0.0016814534974981669,-1.8245183359916628e-05,0.22216048072333336,0.18812487685525,0.2221579749425,0.18812974340150002,-0.02072927499999999,-0.012705466666666672
23,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,-0.00401127000866,-0.00724551737704725,-0.0039443237040341665,-0.0072478582639683336,0.22229837900183333,0.18842760587441665,0.22229075318666666,0.18842695771208332,-0.060355816666666666,-0.03906214166666668
