seed,offset,N,steps,families,parity_even,parity_odd,n_edges,density,components,degree_mean,degree_sd,strength_mean,strength_sd,edge_weight_min,edge_weight_max,edge_weight_mean,edge_weight_cv,global_clustering,A_assort_unweighted,V_assort_unweighted,A_assort_weighted,V_assort_weighted,mean_abs_dA,mean_abs_dV,weighted_abs_dA,weighted_abs_dV,M_DY_minus_D_rA,M_DY_minus_D_rV
303,2,4000,12000,1000,6065,5935,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5935.0,6065.0,6000.0,0.0108333333333,0.0,0.0114541664911,-0.00763433734618,0.011522229041,-0.00772382755852,0.220290354955,0.190911761615,0.220285024406,0.19091003537,-0.177092,-0.125209
404,2,4000,12000,1000,6080,5920,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5920.0,6080.0,6000.0,0.0133333333333,0.0,-0.0132432052404,-0.0200375346093,-0.0133515062346,-0.0201931336053,0.219508693856,0.187576955703,0.219501679882,0.187589574817,-0.23253900000000005,-0.09587400000000001
505,2,4000,12000,1000,5939,6061,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5939.0,6061.0,6000.0,0.0101666666667,0.0,-0.00765616145108,-0.0141366559484,-0.00756569611053,-0.01394592443,0.223745409146,0.191970956849,0.223720332882,0.191960048695,-0.17317000000000005,-0.09818199999999999
606,2,4000,12000,1000,6048,5952,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5952.0,6048.0,6000.0,0.008,0.0,-0.0132851441219,0.00300124565683,-0.0131275352939,0.00288609875725,0.222419032913,0.186883140373,0.222418698527,0.186888698467,0.015924999999999967,0.002796999999999994
707,2,4000,12000,1000,5886,6114,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5886.0,6114.0,6000.0,0.019,0.0,0.0184844956961,0.0102001800448,0.0185028004111,0.010186400373,0.215380000993,0.188708249531,0.215384328943,0.188716018963,-0.03262100000000001,-0.02840400000000004
808,2,4000,12000,1000,5973,6027,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5973.0,6027.0,6000.0,0.0045,0.0,-0.00986865858454,0.0223922350447,-0.00990245421527,0.0223651623418,0.220979772022,0.184919977844,0.220983522258,0.184923870358,0.3159766,0.2127585
909,2,4000,12000,1000,5981,6019,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5981.0,6019.0,6000.0,0.00316666666667,0.0,0.00311561806741,-0.0304727480967,0.00317333247151,-0.0305416384231,0.223790007683,0.190596003963,0.223775647526,0.190599753503,-0.005838999999999928,-0.020489000000000035
1010,2,4000,12000,1000,5947,6053,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5947.0,6053.0,6000.0,0.00883333333333,0.0,0.0235147881519,-0.0104259149622,0.0233690856267,-0.010428275605,0.215541703876,0.186256165327,0.215566833092,0.186240837125,-0.19184499999999993,-0.10310599999999998
1111,2,4000,12000,1000,5989,6011,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5989.0,6011.0,6000.0,0.00183333333333,0.0,-0.00178934273764,-0.00476464822453,-0.00179185735184,-0.00477837915926,0.22423241212,0.192260302759,0.224233919469,0.192259833396,0.544387,0.36473500000000003
1212,2,4000,12000,1000,5936,6064,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5936.0,6064.0,6000.0,0.0106666666667,0.0,0.00517329195949,0.0174482871634,0.00539771522543,0.0172209077535,0.222848383081,0.184238162165,0.222821941798,0.184274609097,-0.225865,-0.155426
