seed,mixing,interaction,rA,rV,rate,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,mutual_elev_post,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv,pair_digest
4545,random,directed,0.594237,0.407931,0.396396,0.996243,0.711741,0.996197,0.710982,0.0174305,0.0173972,0.000253,0.00125012,0.00496617,0.25004,0.000741333,0.776981,0.00740203,4665785661025933132
4646,random,directed,0.376685,0.271913,0.0792112,0.998707,0.729012,0.998691,0.728304,0.00755425,0.00753371,0.000248917,0.0012475,0.00496971,0.249947,0.000756583,0.777035,0.00751384,10612391144567432223
4747,random,directed,0.0763607,0.0739128,0.10873,0.998699,0.660794,0.998685,0.660217,0.00666183,0.00664471,0.000249458,0.0012525,0.00497838,0.25001,0.000744958,0.777056,0.0075361,2806913601698330356
4848,random,directed,0.328677,0.244648,0.281928,0.997931,0.722209,0.997904,0.721531,0.00883017,0.00881071,0.000250875,0.00124979,0.00497842,0.249994,0.00074075,0.777015,0.00754824,13041343288079651521
4949,random,directed,0.518766,0.356241,0.207658,0.999311,0.791706,0.999302,0.791095,0.00440854,0.00439096,0.000254875,0.00124758,0.00496025,0.249906,0.000746875,0.776892,0.00753184,15688078512293176947
5050,random,directed,0.102515,0.0843419,0.0802443,0.998587,0.771857,0.998569,0.77117,0.00907158,0.00905387,0.00025075,0.0012545,0.00498412,0.250083,0.000748792,0.777082,0.00740022,14347374636339464340
5151,random,directed,0.137155,0.107514,0.377866,0.997816,0.702492,0.997788,0.701814,0.0139168,0.0138909,0.000250292,0.00124867,0.00499575,0.250033,0.000746417,0.776896,0.0074892,9535685278167279799
5252,random,directed,0.614838,0.391764,0.424022,0.995548,0.754567,0.995499,0.753852,0.0147104,0.0146808,0.00025175,0.00125496,0.00498833,0.249925,0.000745,0.776948,0.007668,8498188523165093839
5353,random,directed,0.167859,0.154815,0.320509,0.996886,0.710298,0.996849,0.709743,0.0129632,0.0129345,0.000252458,0.00125383,0.00498387,0.24995,0.000760708,0.777033,0.00743956,11689919448206570347
5454,random,directed,0.399395,0.307897,0.201612,0.998142,0.726894,0.998114,0.72629,0.0135638,0.0135382,0.000251542,0.00125225,0.00500621,0.250025,0.000753667,0.77701,0.00737105,7295714592094838707
5555,random,directed,0.529514,0.350406,0.523071,0.996006,0.590971,0.99596,0.590287,0.0267227,0.026674,0.000252958,0.00124667,0.00499229,0.249977,0.00075475,0.777001,0.0076158,5149605271688457828
5656,random,directed,0.219762,0.193731,0.211752,0.997856,0.757993,0.997828,0.757351,0.00847992,0.0084475,0.00024825,0.00125354,0.0049975,0.25001,0.000749125,0.776999,0.00744209,11541920501219194692
101,random,dyadic,0.631816,0.43321,0.464827,0.999064,0.73876,0.999086,0.738617,0.00876496,0.00875438,0.000248208,0.00124396,0.00500592,0.249939,0.000751167,0.950245,0.00332158,15088318594308599739
202,random,dyadic,0.411844,0.260957,0.111806,0.999271,0.702917,0.99929,0.70261,0.00804029,0.00803583,0.000248625,0.00125575,0.00498742,0.250013,0.000755625,0.950189,0.00331453,4914822966185049061
303,random,dyadic,0.178213,0.158623,0.445771,0.998523,0.716185,0.998559,0.715992,0.0123573,0.012347,0.000253875,0.00126771,0.00500675,0.249988,0.000755875,0.950363,0.00330571,4592148954548078428
404,random,dyadic,0.38858,0.298991,0.341293,0.998985,0.745656,0.999011,0.745362,0.00651096,0.00650838,0.000249333,0.00125554,0.00499383,0.250017,0.000751167,0.950309,0.00332588,3352798620045422019
505,random,dyadic,0.443927,0.309203,0.319533,0.999233,0.655197,0.999252,0.655001,0.00791367,0.00789958,0.000247417,0.00124296,0.00498042,0.250075,0.000749875,0.950378,0.0033141,4759851087943297059
606,random,dyadic,0.59044,0.396092,0.271803,0.998789,0.713265,0.998821,0.71287,0.00674308,0.00673179,0.000251,0.00126108,0.00499421,0.250033,0.000751417,0.950321,0.00335835,7977712089098221410
707,random,dyadic,0.568345,0.375175,0.372705,0.998782,0.742487,0.998813,0.742235,0.00971433,0.00970929,0.000251792,0.00125763,0.00500646,0.250064,0.000753083,0.950226,0.0032647,6626978477444108832
808,random,dyadic,0.357585,0.26652,0.212458,0.99888,0.731584,0.998907,0.731409,0.00682925,0.00682196,0.000251792,0.00124754,0.00497671,0.249972,0.00076575,0.950393,0.00331415,8938853467923338380
909,random,dyadic,0.629929,0.442906,0.458274,0.998579,0.754915,0.998616,0.754607,0.00874963,0.00874379,0.000252875,0.00125146,0.00499371,0.250069,0.000752875,0.950144,0.00325461,7523379821232620433
1010,random,dyadic,0.39353,0.294995,0.2449,0.999081,0.757244,0.999106,0.756892,0.00527167,0.00525396,0.000249875,0.00125117,0.00500513,0.250009,0.000754333,0.950209,0.00320324,6095443981521357002
1111,random,dyadic,0.686062,0.509377,0.228815,0.999087,0.0550663,0.99911,0.0550557,0.00544479,0.00543992,0.000251,0.00123296,0.00496196,0.249993,0.000757042,0.950451,0.00322934,1709130890311390258
1212,random,dyadic,0.238319,0.187236,0.378658,0.998968,0.72773,0.998994,0.727477,0.0102922,0.0102911,0.00025025,0.00125942,0.00500263,0.250046,0.000759,0.95034,0.00331079,6566218846149515846
1313,random,dyadic,0.0457126,0.0490847,0.162619,0.999026,0.737714,0.999052,0.737419,0.00303479,0.0030255,0.000249875,0.00123775,0.00496054,0.250017,0.000740667,0.950342,0.0032431,5265459889430765273
1414,random,dyadic,0.535446,0.347012,0.129707,0.999418,0.775898,0.999433,0.775659,0.00380117,0.00379775,0.000251125,0.00126492,0.00501371,0.250002,0.000749542,0.950207,0.00334584,16757399655768377468
1515,random,dyadic,0.108163,0.0878398,0.16698,0.998896,0.691427,0.998923,0.691249,0.00998371,0.00997646,0.000244042,0.00124642,0.00496383,0.250014,0.000747333,0.950293,0.00334904,15553783089522774953
1616,random,dyadic,0.57403,0.429902,0.360186,0.998482,0.744512,0.998522,0.744208,0.00714075,0.00713212,0.000249292,0.0012575,0.00498654,0.249901,0.000745375,0.950316,0.00330827,2925567432917206370
1717,random,dyadic,0.571078,0.359755,0.273734,0.999056,0.747786,0.999079,0.747572,0.00670858,0.00669925,0.000247375,0.00123758,0.00498325,0.249971,0.000754083,0.950107,0.00332764,5315331658029473431
1818,random,dyadic,0.0529859,0.0593901,0.270618,0.998743,0.730578,0.998774,0.73036,0.00617833,0.00616975,0.000251375,0.0012485,0.00498958,0.250039,0.000752333,0.95027,0.0033387,8503298889816827995
1919,random,dyadic,0.648166,0.423104,0.169676,0.998879,0.726379,0.998909,0.726033,0.00460967,0.00460175,0.00024975,0.00124192,0.0049755,0.25,0.000742542,0.950162,0.00333975,2554226534663858501
2020,random,dyadic,0.117805,0.0788842,0.407423,0.998034,0.744909,0.998084,0.744662,0.0126137,0.0126067,0.000251375,0.00123221,0.00497462,0.250027,0.000748833,0.950297,0.00336203,412551867755059251
2121,random,dyadic,0.101906,0.0825837,0.272013,0.998587,0.761232,0.998624,0.760934,0.00380729,0.00379929,0.000241875,0.00124625,0.00497975,0.249991,0.000762792,0.950374,0.00335892,6823530061885106871
2222,random,dyadic,0.212918,0.175303,0.39204,0.998952,0.702012,0.998978,0.701773,0.0102863,0.0102682,0.000244083,0.00124738,0.00499696,0.250029,0.000744958,0.950251,0.00326993,9549826686038314684
2323,random,dyadic,0.109002,0.104911,0.22521,0.999203,0.738969,0.999225,0.738665,0.00394904,0.00393546,0.0002535,0.00124875,0.00498863,0.249976,0.000751333,0.950413,0.0033161,12942702738109462900
2424,random,dyadic,0.652957,0.422753,0.150237,0.999366,0.755686,0.999382,0.755422,0.00619375,0.00618604,0.000247167,0.00125913,0.00501483,0.250081,0.0007485,0.950279,0.00329243,1924404037196765821
2525,random,dyadic,0.665736,0.420117,0.130544,0.999615,0.746851,0.999625,0.74656,0.00464963,0.00464521,0.000253417,0.00124242,0.004967,0.250004,0.000746833,0.950319,0.00330445,2742544841774463500
2626,random,dyadic,0.0640523,0.0708331,0.271829,0.998834,0.727252,0.998864,0.727034,0.00884612,0.00883425,0.000252292,0.00123508,0.00497933,0.250027,0.000747542,0.950182,0.00335544,620250434444110995
2727,random,dyadic,0.0423152,0.0627679,0.297293,0.999216,0.530498,0.999234,0.530398,0.0103176,0.0103098,0.000260125,0.00125679,0.00497333,0.249959,0.000752292,0.9503,0.00325495,2022552238131814483
