seed,mixing,condition,recipient_rule,partner_signal_scale,alpha_scale,rA,rV,rate,pair_x_corr_post,pair_q_corr_post,repeat1,repeat5,repeat20,pair_digest
1919,random,Y,both_update,1,1,0.648166,0.423104,0.169676,0.998909,0.726033,0.00024975,0.00124192,0.0049755,2554226534663858501
2020,random,Y,both_update,1,1,0.117805,0.0788842,0.407423,0.998084,0.744662,0.000251375,0.00123221,0.00497462,412551867755059251
2121,random,Y,both_update,1,1,0.101906,0.0825837,0.272013,0.998624,0.760934,0.000241875,0.00124625,0.00497975,6823530061885106871
2222,random,Y,both_update,1,1,0.212918,0.175303,0.39204,0.998978,0.701773,0.000244083,0.00124738,0.00499696,9549826686038314684
2323,random,Y,both_update,1,1,0.109002,0.104911,0.22521,0.999225,0.738665,0.0002535,0.00124875,0.00498863,12942702738109462900
2424,random,Y,both_update,1,1,0.652957,0.422753,0.150237,0.999382,0.755422,0.000247167,0.00125913,0.00501483,1924404037196765821
2525,random,Y,both_update,1,1,0.665736,0.420117,0.130544,0.999625,0.74656,0.000253417,0.00124242,0.004967,2742544841774463500
2626,random,Y,both_update,1,1,0.0640523,0.0708331,0.271829,0.998864,0.727034,0.000252292,0.00123508,0.00497933,620250434444110995
2727,random,Y,both_update,1,1,0.0423152,0.0627679,0.297293,0.999234,0.530398,0.000260125,0.00125679,0.00497333,2022552238131814483
2828,random,Y,both_update,1,1,0.448422,0.346133,0.369952,0.998527,0.73555,0.000253167,0.0012575,0.00499158,3998001521368178311
2929,random,Y,both_update,1,1,0.593629,0.396016,0.396427,0.998753,0.74586,0.000252042,0.00124425,0.00497775,9683457375107194807
3030,random,Y,both_update,1,1,0.0374459,0.049602,0.235611,0.999262,0.754261,0.000248833,0.00125204,0.00497058,10071646235806721820
3131,random,Y,both_update,1,1,0.358878,0.245391,0.1905,0.998981,0.724614,0.000247417,0.00125225,0.00498942,9229365724962856925
3232,random,Y,both_update,1,1,0.0421102,0.0578344,0.311946,0.998562,0.708589,0.000251708,0.00125296,0.00499787,13671435268397155858
3333,random,Y,both_update,1,1,0.0463864,0.0443777,0.389486,0.998543,0.718947,0.000246833,0.001239,0.00495612,2059749156295377661
3434,random,Y,both_update,1,1,0.0420378,0.0511468,0.279048,0.999133,0.774913,0.000251875,0.00124408,0.004983,7553414289207416667
3535,random,Y,both_update,1,1,0.0412762,0.064777,0.380582,0.998982,0.541662,0.0002545,0.00126125,0.00500029,14471077341508696832
3636,random,Y,both_update,1,1,0.0638601,0.07284,0.33132,0.998481,0.665809,0.000249958,0.00124887,0.00496383,16185903053348071721
3737,random,Y,both_update,1,1,0.056151,0.0513392,0.448922,0.998702,0.7439,0.000255667,0.00125208,0.00498858,5416711868088930675
3838,random,Y,both_update,1,1,0.371016,0.235895,0.24049,0.998918,0.78919,0.000253625,0.00126267,0.00500525,3366072728673555250
3939,random,Y,both_update,1,1,0.103938,0.0903448,0.27468,0.998853,0.774467,0.000241583,0.00123354,0.004962,13885551371623210596
4040,random,Y,both_update,1,1,0.183021,0.130717,0.260691,0.998684,0.743058,0.000251083,0.00124275,0.00496796,13341758029431325002
4141,random,Y,both_update,1,1,0.102775,0.107178,0.258874,0.99882,0.723061,0.000248958,0.0012475,0.00499296,10471921851167804589
4242,random,Y,both_update,1,1,0.230179,0.174126,0.402784,0.998627,0.714161,0.000254458,0.00124546,0.00497712,11216438071147082940
4343,random,Y,both_update,1,1,0.0693418,0.0863585,0.396732,0.99886,0.715599,0.000249333,0.00123896,0.00497129,14660719490780590819
4444,random,Y,both_update,1,1,0.380185,0.265894,0.229497,0.999505,0.761732,0.000248458,0.00124546,0.00497029,12858910272898107015
4545,random,Y,both_update,1,1,0.440218,0.291897,0.425389,0.998551,0.723742,0.000250875,0.00125063,0.00496879,4665785661025933132
4646,random,Y,both_update,1,1,0.11385,0.105125,0.0934045,0.999512,0.741948,0.000253917,0.001259,0.00498004,10612391144567432223
